iter	Passed	Remaining
0	142	142517
1	143	71675
2	144	48008
3	145	36174
4	146	29073
5	147	24353
6	147	20976
7	148	18449
8	149	16477
9	150	14891
10	151	13596
11	152	12517
12	152	11604
13	153	10825
14	154	10146
15	155	9551
16	156	9026
17	156	8559
18	157	8140
19	158	7774
20	159	7443
21	160	7133
22	161	6848
23	162	6589
24	162	6349
25	163	6128
26	164	5925
27	165	5736
28	166	5558
29	166	5392
30	167	5238
31	168	5092
32	169	4957
33	169	4829
34	170	4708
35	171	4593
36	172	4485
37	173	4386
38	174	4291
39	175	4204
40	175	4116
41	176	4033
42	177	3953
43	178	3876
44	179	3803
45	180	3738
46	181	3672
47	181	3609
48	182	3551
49	184	3496
50	185	3445
51	186	3394
52	187	3342
53	187	3292
54	188	3244
55	189	3197
56	190	3152
57	191	3108
58	192	3065
59	193	3026
60	194	2993
61	196	2970
62	197	2933
63	198	2897
64	198	2862
65	200	2834
66	201	2802
67	201	2764
68	202	2732
69	203	2701
70	204	2671
71	204	2641
72	205	2613
73	206	2586
74	207	2561
75	209	2542
76	210	2518
77	210	2493
78	212	2472
79	213	2449
80	213	2426
81	214	2403
82	215	2382
83	216	2361
84	217	2338
85	218	2318
86	218	2295
87	219	2275
88	220	2256
89	221	2237
90	222	2221
91	223	2203
92	224	2185
93	224	2167
94	225	2150
95	227	2138
96	228	2123
97	228	2106
98	229	2090
99	230	2074
100	231	2061
101	232	2049
102	233	2035
103	234	2020
104	236	2016
105	237	2003
106	238	1990
107	239	1976
108	240	1962
109	240	1949
110	241	1935
111	242	1922
112	243	1909
113	244	1897
114	244	1884
115	245	1871
116	246	1859
117	247	1847
118	247	1835
119	248	1824
120	249	1813
121	250	1801
122	250	1788
123	251	1777
124	252	1766
125	253	1756
126	254	1747
127	254	1735
128	255	1725
129	256	1715
130	257	1706
131	258	1696
132	258	1687
133	259	1677
134	260	1668
135	261	1660
136	262	1651
137	262	1642
138	263	1633
139	264	1626
140	265	1618
141	266	1609
142	267	1601
143	267	1593
144	268	1585
145	269	1577
146	270	1570
147	271	1562
148	272	1554
149	273	1547
150	273	1539
151	274	1532
152	275	1524
153	276	1517
154	276	1509
155	277	1501
156	278	1494
157	278	1486
158	279	1478
159	280	1471
160	280	1464
161	281	1456
162	282	1449
163	283	1442
164	283	1435
165	284	1428
166	285	1421
167	285	1415
168	286	1409
169	287	1403
170	288	1397
171	289	1391
172	289	1385
173	290	1379
174	291	1374
175	292	1369
176	293	1364
177	294	1358
178	295	1353
179	295	1347
180	296	1340
181	297	1334
182	297	1329
183	298	1323
184	299	1317
185	299	1312
186	300	1307
187	301	1301
188	302	1296
189	302	1290
190	303	1285
191	304	1280
192	305	1275
193	306	1271
194	306	1267
195	307	1262
196	308	1258
197	309	1253
198	310	1249
199	311	1244
200	311	1240
201	312	1235
202	313	1231
203	314	1227
204	315	1222
205	316	1218
